DEEKSHABHOOMI,SIGHTSEEING,3,0
TAJ MAHAL,SIGHTSEEING,5,735
TIGER POINT,SAFARI,4,550
TIGER POINT,SIGHTSEEING,4,0
GATEWAY OF INDIA,SIGHTSEEING,3,0
HAWA MAHAL,SIGHTSEEING,4,50
RUMTEK MONASTERY,SIGHTSEEING,4,10
JAISALMER FORT,SIGHTSEEING,5,50
RAKH BAGH PARK,SIGHTSEEING,5,0
VENKATESWARA TEMPLE,SIGHTSEEING,5,0
SINHAGAD FORT,TREKKING,4,0
SINHAGAD FORT,SIGHTSEEING,4,0
BENGALURU PALACE,SIGHTSEEING,4,230
DAL LAKE,BOATING,5,420
DAL LAKE,SIGHTSEEING,4,0
SABARMATI ASHRAM,SIGHTSEEING,3,0
KATIKI WATERFALLS,TREKKING,4,0
KATIKI WATERFALLS,CAMPING,3,0
KATIKI WATERFALLS,SIGHTSEEING,5,0
MEENAKSHI TEMPLE,SIGHTSEEING,3,0
MARINA BEACH,SCUBA DIVING,4,2350
MARINA BEACH,SURFING,3,1250
MARINA BEACH,BOATING,4,720
MARINA BEACH,SIGHTSEEING,4,0
LAKSHMAN JHULA,SIGHTSEEING,4,0
VICTORIA MEMORIAL,SIGHTSEEING,3,20
SHANIWAR WADA,SIGHTSEEING,3,5
KYNREM FALLS,TREKKING,5,0
KYNREM FALLS,SIGHTSEEING,5,0
ELEPHANT FALLS,TREKKING,5,0
ELEPHANT FALLS,TREKKING,5,0
ELEPHANT FALLS,CAMPING,3,0
MEHRANGARH FORT,SIGHTSEEING,3,60
GOVARDHAN HILL,TREKKING,3,0
GOVARDHAN HILL,SIGHTSEEING,3,0
GWALIOR FORT,SIGHTSEEING,4,75
NATHULA PASS,SIGHTSEEING,4,200
NAHARGARH FORT,SIGHTSEEING,3,50
DASHASHWAMEDHA GHAT,BOATING,3,125
DASHASHWAMEDHA GHAT,SIGHTSEEING,3,0
ROCK GARDEN,SIGHTSEEING,3,10
JANTAR MANTAR,SIGHTSEEING,3,200
ELEPHANTA ISLAND,SIGHTSEEING,3,10
AJANTA ELLORA CAVES,SIGHTSEEING,4,600
SITABULDI FORT,SIGHTSEEING,3,0
IMAM NASIR MASJID,SIGHTSEEING,3,0
LODHI FORT,SIGHTSEEING,3,0
MAHAKALESHWAR TEMPLE,SIGHTSEEING,3,0
LOWER LAKE,BOATING,4,175
LOWER LAKE,SIGHTSEEING,3,0
GOLGHAR,SIGHTSEEING,3,0
FORT AGUADA,SIGHTSEEING,3,0
KHANDADHAR FALLS,TREKKING,4,0
KHANDADHAR FALLS,SIGHTSEEING,4,0
DUMAS BEACH,SURFING,4,745
DUMAS BEACH,SCUBA DIVING,4,1750
DUMAS BEACH,SIGHTSEEING,4,0
LAKSHMI VILAS PALACE,SIGHTSEEING,3,0
DHOBI WATERFALL,CAMPING,3,0
DHOBI WATERFALL,TREKKING,4,0
DHOBI WATERFALL,SIGHTSEEING,4,0
SELA PASS,TREKKING,3,0
SELA PASS,SIGHTSEEING,3,0
ASAD GAD FORT,SIGHTSEEING,3,0
RANKALA LAKE,BOATING,4,230
RANKALA LAKE,SIGHTSEEING,4,0
CUBBON PARK,SAFARI,3,825
CUBBON PARK,SIGHTSEEING,3,0
CHERAI BEACH,BOATING,4,690
CHERAI BEACH,SURFING,5,1750
CHERAI BEACH,SCUBA DIVING,4,2045
CHERAI BEACH,SIGHTSEEING,4,0
NAPIER MUSEUM,SIGHTSEEING,3,10
NANDAN VAN ZOO,SAFARI,4,300
NANDAN VAN ZOO,SIGHTSEEING,3,50
TRIVENI GHAT,SIGHTSEEING,3,0