H001,ORANGE CITY HOTEL,NAGPUR,2000
H002,RADISSON BLU,NAGPUR,5200
H003,HOTEL ADI,NAGPUR,1687
H004,HOTEL PRITAM,NAGPUR,817
H005,THE ORCID,MUMBAI,5199
H006,THE FERN GOREGAON,MUMBAI,2500
H007,TRIDENT NARIMAN POINT,MUMBAI,9250
H008,OYO 23121 SUPRABHA,MUMBAI,1100
H009,HOTEL RANI MAHAL,JAIPUR,650
H010,PEARL PALACE,JAIPUR,811
H011,GOLDEN TULIP,JAIPUR,2071
H012,CROWN PLAZA,JAIPUR,5000
H013,RADISSON BLU,AGRA,2903
H014,HOTEL ATULYA TAJ,AGRA,1480
H015,CRYSTAL SAROVAR,AGRA,2748
H016,COURTYARD,AGRA,4903
H017,MANGO HOTELS,MAHABALESHWAR,2357
H018,BERRY HILL RESORT,MAHABALESHWAR,1300
H019,CITRUS CHAMBERS,MAHABALESHWAR,4070
H020,CP COTTAGE,MAHABALESHWAR,1000
H021,THE PRIDE HOTEL,KOLKATA,3248
H022,AVI HOUSE,KOLKATA,560
H023,THE ELITE APARTMENT,KOLKATA,1200
H024,THE VEDIC VILLAGE,KOLKATA,2521
H025,GRAND CASCADE,CHENNAI,1390
H026,HOTEL PANDIAN,CHENNAI,2312
H027,HOREL GREENS GATE,CHENNAI,800
H028,SAMUDRA RESIDENCY,CHENNAI,5000
H029,RADISSON BLU,VARANASI,4464
H030,HHI VARANASI,VARANASI,2999
H031,PALACE ON GANGES,VARANASI,3075
H032,ZOSTEL,VARANASI,600
H033,ZOSTEL,RISHIKESH,700
H034,ALOHA ON THE GANGES,RISHIKESH,4090
H035,SWISS COTTAGE,RISHIKESH,800
H036,THE NARAYANA PALACE,RISHIKESH,2500
H037,HOTEL WOODLAND HILL,SHILLONG,3144
H038,HOTEL ORCHID ANNEX,SHILLONG,2600
H039,HOTEL PEGASUS CROWN,SHILLONG,1278
H040,HOTEL GATEWAY,SHILLONG,3648
H041,HYATT,RAIPUR,4458
H042,HOTEL MAYURA,RAIPUR,2452
H043,HOTEL BABYLON INN,RAIPUR,1200
H044,HOTEL BABYLON INTERNATIONAL,RAIPUR,3288
H045,HOTEL PALACIO DE GOA,PANAJI,1443
H046,BAY15,PANAJI,3128
H047,HOTEL CAMPAL,PANAJI,1150
H048,COUNTRY INN,PANAJI,2730
H049,RADISSON BLU,RANCHI,6019
H050,LE LAC SAROVAR,RANCHI,3323
H051,CHANAKYA BNR HOTEL,RANCHI,1500
H052,MAPLEWOOD HOTEL,RANCHI,2888
H053,HOTEL FURAAT INN,AHMEDABAD,1425
H054,HOTEL NEELKANTH PALACE,AHMEDABAD,408
H055,CAMBAY GRAND,AHMEDABAD,1662
H056,HOTEL PINNACLE,AHMEDABAD,2013
H057,HOTEL IMPHAL,IMPHAL,2630
H058,THE CLASSIC HOTEL,IMPHAL,1200
H059,SANGAI CONTINENTAL,IMPHAL,3000
H060,PHOU-OI-BEE HOTEL,IMPHAL,1500
H061,HOLIDAY INN,TIRUPATI,703
H062,MINERVA GRAND,TIRUPATI,2453
H063,MARASA SAROVAR,TIRUPATI,3652
H064,GRAND RIDGE,TIRUPATI,1502
H065,COURTYARD,BHOPAL,8064
H066,NOOR-US-SABAH,BHOPAL,4998
H067,JEHAN NUMA PALACE,BHOPAL,2100
H068,SAYAJI HOTEL,BHOPAL,1500
H069,HILTON GARDEN INN,THIRUVANANTHAPURAM,4858
H070,HYCINTH HOTELS,THIRUVANANTHAPURAM,3500
H071,UDAY SUITES,THIRUVANANTHAPURAM,2635
H072,KEYS SELECT,THIRUVANANTHAPURAM,1503
H073,THE ORCHID,PUNE,3054
H074,THE PRIDE HOTEL,PUNE,3062
H075,CONRAD,PUNE,9482
H076,OYO HOTEL,PUNE,1493
H077,SURAT MARRIOTT HOTEL,SURAT,6300
H078,HOTEL SIFAT INTERNATIONAL,SURAT,3168
H079,THE GRAND BHAGWATI,SURAT,1500
H080,COURTYARD,SURAT,2648
H081,REGENTA INN,VADODARA,1259
H082,VIVANTA,VADODARA,4838
H083,THE BARODA RESIDENCY,VADODARA,2791
H084,BANYAN PARADISE RESORT,VADODARA,1164
H085,HOTEL SUNDAR PALACE,DEHRADUN,697
H086,SEYFERT SAROVAR,DEHRADUN,4153
H087,FOUR POINTS,DEHRADUN,6170
H088,DIVINE PARADISE,DEHRADUN,1500
H089,THE LANDMARK TOWERS,KANPUR,4500
H090,THE BRIDGE HOTEL,KANPUR,2546
H091,VIJAY INTERNATIONAL,KANPUR,3654
H092,DNG HOTEL,KANPUR,1500
H093,SINCLAIRS,DARJEELING,3782
H094,HOTEL MEGHMA,DARJEELING,891
H095,STERLING,DARJEELING,2489
H096,SUMMIT GRACE HOTEL,DARJEELING,1546
H097,GINGER,AGARTALA,2165
H098,WELCOME PALACE,AGARTALA,2107
H099,HOTEL SONAR,AGARTALA,1212
H100,HOTEL HAVEN,AGARTALA,3564
H101,SNOW VALLEY,SHIMLA,3274
H102,SHIMLA NATURE VILLE,SHIMLA,1051
H103,HOTEL SANSAR,SHIMLA,703
H104,RADISSON JASS,SHIMLA,2654
H105,STERLING,GANGTOK,3511
H106,HOTEL SAIKRIPA,GANGTOK,2500
H107,HOTEL PINEWOOD,GANGTOK,1562
H108,HOTEL SILVER LINE,GANGTOK,4024
H109,HOTEL ROYAL HAVELI,JAISALMER,1544
H110,HOTEL GOLDEN HAVELI,JAISALMER,2145
H111,JAISALMER MARRIOTT,JAISALMER,3545
H112,HOTEL RAWALKOT,JAISALMER,900
H113,CLARKS INN,GWALIOR,3115
H114,RADISSON BLU,GWALIOR,2145
H115,TAJ USHA KIRAN,GWALIOR,1658
H116,DEO BAGH,GWALIOR,4123
H117,RADISSON BLU,JALANDHAR,3360
H118,RAMADA CENTER,JALANDHAR,2489
H119,SAROVAR PORTICO,JALANDHAR,1547
H120,COUNTRY INN,JALANDHAR,4126
H121,GINGER HOTEL,AURANGABAD,2026
H122,LEMON TREE HOTEL,AURANGABAD,3014
H123,VITS,AURANGABAD,1546
H124,VIVANTA,AURANGABAD,4102
H125,MAYFAIR,ROURKELA,3232
H126,THE CENTRAL PARK,ROURKELA,2548
H127,HOTEL RADHIKA REGENCY,ROURKELA,1423
H128,HOTEL BRINDABAN,ROURKELA,4129
H129,PRAYAG HOTEL,ALLAHABAD,1248
H130,HOTEL POLO MAX,ALLAHABAD,2206
H131,HOTEL KASHI,ALLAHABAD,3545
H132,LAXMI HOTEL,ALLAHABAD,4826
H133,JC RESIDENCY,MADURAI,2603
H134,REGENCY MADURAI,MADURAI,3514
H135,HERITAGE,MADURAI,1546
H136,ASTORIA HOTELS,MADURAI,4561
H137,THE FERN RESIDENCY,JODHPUR,1892
H138,TREEBO TREND CITY CENTER,JODHPUR,1315
H139,LEISURE INN SHREY,JODHPUR,2087
H140,LORDS INN JODHPUR,JODHPUR,1874
H141,POLO ORCHID RESORT,CHERRAPUNJI,11728
H142,LA KUPAR INN,CHERRAPUNJI,2422
H143,PATENG HOMESTAY,CHERRAPUNJI,1445
H144,SAN NAEL LA,CHERRAPUNJI,2519
H145,ABIKA ELITE,UJJAIN,2010
H146,AGROHA LODGE,UJJAIN,606
H147,MIDLAND,UJJAIN,799
H148,OYO 963 HOTEL RUMAYA,UJJAIN,887
H149,HYATT REGENCY ,LUDHIANA,5402
H150,TREEBO TRIP K HOMES,LUDHIANA,1247
H151,OYO 3625 HOTEL SURYA,LUDHIANA,840
H152,RIYASAT,LUDHIANA,2514
H153,LILAC,KOTA,2550
H154,OYO 10104 RADHIKA RESORT,KOTA,791
H155,UMED BHAWAN PALACE,KOTA,3627
H156,OYO 44605 HOTEL SKYWAY,KOTA,761
H157,PATLIPUTRA EXOTICA,PATNA,3429
H158,TREEBO TREND CITI INN,PATNA,1345
H159,WINDSOR,PATNA,3298
H160,THE PANACHE,PATNA,4648
H161,CYGNETT INN REPOSE,GUWAHATI,2882
H162,ATITHI,GUWAHATI,3695
H163,GREENWOOD RESORT,GUWAHATI,2977
H164,VIVANTA,GUWAHATI,1496
H165,HOTEL RANJEET,AKOLA,1732
H166,HOTEL SHAGUN,AKOLA,1337
H167,HOTEL CITY PRIDE,AKOLA,1634
H168,CSC RESORT,AKOLA,1452
H169,THE GALAXY SUITES,KOCHI,640
H170,THE PGS VEDANTA,KOCHI,2830
H171,HOTEL RADISSON BLU,KOCHI,4702
H172,DIANA HEIGHTS,KOCHI,2544
H173,VIVANTA DALVIEW,SRINAGAR,17086
H174,COMRADE INN,SRINAGAR,4162
H175,NEW MAMTA,SRINAGAR,1107
H176,THE RESIDENCY,SRINAGAR,2496
H177,HOTEL SHUBHAM MAJESTY,MATHURA,1898
H178,SILVER STAR,MATHURA,1915
H179,BASERA,MATHURA,1539
H180,SHEETAL REGENCY,MATHURA,1899
H181,LEMON TREE,INDORE,3217
H182,HOTEL SHREEMAYA,INDORE,4646
H183,WOW HOTEL,INDORE,4813
H184,SAYAJI HOTEL,INDORE,5094
H185,SAYAJI HOTEL,KOLHAPUR,3744
H186,CITRUS HOTEL,KOLHAPUR,2466
H187,HOTEL MARATHA REGENCY,KOLHAPUR,1899
H188,HOTEL RASIKA RENAISSANCE,KOLHAPUR,4123
H189,DOLPHIN HOTEL,VISAKHAPATNAM,2992
H190,NOVOTE,VISAKHAPATNAM,4598
H191,KEYS SELECT,VISAKHAPATNAM,2887
H192,FOUR POINTS,VISAKHAPATNAM,1544
H193,JW MARRIOTT,BENGALURU,1462
H194,HOLIDAY INN,BENGALURU,3024
H195,THE LEELA PALACE,BENGALURU,2599
H196,THE RITZ-CARLTON,BENGALURU,4599
H197,ZAMBHALA HOTEL,TAWANG,891 
H198,BUMLA INN,TAWANG,842
H199,DONDRUB HOMESTAY,TAWANG,2018
H200,TAWANG REGENCY,TAWANG,5267